date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx,undernourishment_pct,food_production_index,cereal_yield_kg_ha,arable_land_pct,undernourishment_pct_yoy_chg,food_production_index_yoy_chg,cereal_yield_kg_ha_yoy_chg,ffpi_overall,ffpi_cereals,ffpi_overall_mom_pct,ffpi_cereals_yoy_pct,ffpi_above_baseline,ffpi_crisis_flag,dap_to_wheat_elevated,ffpi_volatility_12m,cereals_affordability_idx,supply_stress_flag,food_shock_score,month,year
31-01-2011,1365.73,264.94664,326.5565676,547.4,322.5,6.537,62.312,5.818,58.353,3.096,48.36,1.253,42.924,0.0,-17.175,1.676,434.95,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,155.71,150.84,5.067,60.298,1,1,0,6.388,66.3,1,2,1,2011
28-02-2011,1359.86,292.89792,348.1203485,413.625,374.375,6.603,79.443,10.55,81.022,-0.43,49.568,-24.438,0.0,16.085,0.0,1.188,394.0,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,164.11,163.8,5.395,80.238,1,1,0,6.049,61.05,0,1,2,2011
31-03-2011,1306.53,290.53584,316.7465707,424.5,340.0,-9.012,65.771,-0.806,82.673,-3.922,43.406,2.629,0.0,-9.182,0.0,1.34,382.25,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,156.72,155.95,-4.503,74.402,1,1,0,6.424,64.12,0,1,3,2011
30-04-2011,1310.45,319.27448,336.1242956,417.5,340.0,6.118,74.275,9.892,103.258,0.3,45.149,-1.649,0.0,0.0,0.0,1.242,378.75,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,165.34,168.64,5.5,88.931,1,1,0,6.25,59.3,0,1,4,2011
31-05-2011,1296.03,307.85776,355.2778856,410.0,334.5,5.698,95.632,-3.576,88.434,-1.1,50.791,-1.796,0.0,-1.618,0.0,1.154,372.25,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,165.49,169.74,0.091,91.797,1,1,0,6.031,58.91,0,1,5,2011
30-06-2011,1319.38,310.61352,326.4299292,575.875,355.0,-8.12,107.031,0.895,103.351,1.802,53.366,40.457,46.72,6.129,13.6,1.764,465.44,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,162.56,163.94,-1.77,105.028,1,1,0,5.416,61.0,1,2,6,2011
31-07-2011,1337.36,300.77152,303.8839298,597.625,442.5,-6.907,55.187,-3.169,83.67,1.363,46.83,3.777,42.93,24.648,41.6,1.967,520.06,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,157.97,155.95,-2.824,69.769,1,1,0,5.542,64.12,1,2,7,2011
31-08-2011,1328.39,310.21984,327.0665895,597.4,442.5,7.629,32.82,3.141,76.682,-0.671,33.156,-0.038,29.898,0.0,41.6,1.827,519.95,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,162.95,163.97,3.152,53.559,1,1,0,4.657,60.99,1,2,8,2011
30-09-2011,1307.85,295.26,315.9162291,587.875,442.5,-3.409,16.285,-4.822,43.403,-1.546,26.331,-1.594,16.181,0.0,41.6,1.861,515.19,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,157.56,157.12,-3.308,29.509,1,1,0,4.493,63.65,0,1,9,2011
31-10-2011,1223.1,274.78864,289.0108358,571.4,435.0,-8.517,6.949,-6.933,16.528,-6.48,6.658,-2.802,2.539,-1.695,39.2,1.977,503.2,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,146.11,145.08,-7.267,11.962,1,1,0,4.827,68.93,0,1,10,2011
30-11-2011,1213.96,274.39496,281.0064022,563.5,435.0,-2.77,2.527,-0.143,15.207,-0.747,-1.439,-1.383,1.696,0.0,34.884,2.005,499.25,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796,144.44,143.14,-1.143,9.151,1,1,0,4.793,69.86,0,1,11,2011
31-12-2011,1203.28,258.64776,269.0300071,488.75,450.0,-4.262,-12.231,-5.739,3.302,-0.88,-9.167,-13.265,-9.595,3.448,39.535,1.817,469.38,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,139.17,135.88,-3.649,-4.35,1,1,0,4.29,73.59,0,1,12,2011
31-01-2012,1216.28,272.844845,274.8931741,451.4,495.0,2.179,-15.821,5.489,2.981,1.08,-10.943,-7.642,-17.537,10.0,53.488,1.642,473.2,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,143.31,141.3,2.975,-6.325,1,1,0,4.083,70.77,0,1,1,2012
29-02-2012,1249.12,279.458669,277.7729593,435.5,495.0,1.048,-20.208,2.424,-4.588,2.7,-8.143,-3.522,5.289,0.0,32.22,1.568,465.25,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,146.34,143.85,2.114,-12.179,1,1,0,3.74,69.52,0,1,2,2012
31-03-2012,1285.38,280.69384,283.8782541,442.875,495.0,2.198,-10.377,0.442,-3.388,2.903,-1.619,1.693,4.329,0.0,45.588,1.56,468.94,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,148.97,145.61,1.797,-6.63,1,1,0,3.626,68.68,0,1,3,2012
30-04-2012,1308.89,274.00128,266.3239218,478.0,477.5,-6.184,-20.766,-2.384,-14.18,1.829,-0.119,7.931,14.491,-3.535,40.441,1.795,477.75,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,145.96,139.66,-2.021,-17.185,1,1,0,3.138,71.6,0,1,4,2012
31-05-2012,1220.55,269.27712,264.358724,490.5,477.5,-0.738,-25.591,-1.724,-12.532,-6.749,-5.824,2.615,19.634,0.0,42.75,1.855,484.0,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,141.19,137.86,-3.268,-18.782,1,1,0,3.183,72.54,0,1,5,2012
30-06-2012,1181.93,267.30872,276.1899195,501.625,477.5,4.475,-15.391,-0.731,-13.942,-3.164,-10.418,2.268,-12.893,0.0,34.507,1.816,489.56,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,141.06,140.0,-0.092,-14.603,1,1,0,3.196,71.43,0,1,6,2012
31-07-2012,1239.49,333.05328,345.6879468,436.875,279.5,25.163,13.757,24.595,10.733,4.87,-7.318,-12.908,-26.898,-41.466,-36.836,1.264,358.19,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,166.58,174.8,18.092,12.087,1,1,0,6.342,57.21,0,1,7,2012
31-08-2012,1250.27,331.9920557,349.4003507,504.5,477.5,1.074,6.829,-0.319,7.018,0.87,-5.881,15.479,-15.551,70.841,7.91,1.444,491.0,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,167.37,175.33,0.474,6.928,1,1,0,6.291,57.04,0,1,8,2012
30-09-2012,1280.95,320.8492,353.4209238,527.375,477.5,1.151,11.872,-3.356,8.667,2.454,-2.057,4.534,-10.291,0.0,7.91,1.492,502.44,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,167.09,173.05,-0.167,10.139,1,1,0,6.188,57.79,0,1,9,2012
31-10-2012,1177.95,321.24288,358.195667,533.5,477.5,1.351,23.938,0.123,16.905,-8.041,-3.691,1.161,-6.633,0.0,9.77,1.489,505.5,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,163.74,174.26,-2.005,20.113,1,1,0,5.746,57.39,0,1,10,2012
30-11-2012,1137.78,321.63656,360.8228394,487.875,477.5,0.733,28.404,0.123,17.217,-3.41,-6.275,-8.552,-13.421,0.0,9.77,1.352,482.69,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42,162.59,174.97,-0.702,22.237,1,1,0,5.732,57.15,0,1,11,2012
31-12-2012,1158.64,308.64512,347.9625549,472.8333333,477.5,-3.564,29.34,-4.039,19.33,1.833,-3.71,-3.083,-3.257,0.0,6.111,1.359,475.17,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,158.98,168.3,-2.22,23.859,1,1,0,5.638,59.42,0,1,12,2012
31-01-2013,1192.35,303.1336,335.4697071,462.25,395.0,-3.59,22.036,-1.786,11.101,2.909,-1.967,-2.238,2.404,-17.277,-20.202,1.378,428.62,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,157.38,163.85,-1.006,15.959,1,1,0,5.644,61.03,0,1,1,2013
28-02-2013,1173.48,302.73992,318.9350556,464.5,395.0,-4.929,14.819,-0.13,8.331,-1.583,-6.055,0.487,6.659,0.0,-20.202,1.456,429.75,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,154.02,159.96,-2.135,11.199,1,1,0,5.695,62.52,0,1,2,2013
31-03-2013,1117.43,309.0388,309.7491381,467.625,395.0,-2.88,9.113,2.081,10.098,-4.776,-13.066,0.673,5.588,0.0,-20.202,1.51,431.31,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,151.57,159.67,-1.591,9.656,1,1,0,5.712,62.63,0,1,3,2013
30-04-2013,1094.52,279.90648,308.2793913,461.125,395.0,-0.474,15.754,-9.427,2.155,-2.05,-16.378,-1.39,-3.53,0.0,-17.277,1.496,428.06,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,144.83,150.96,-4.447,8.091,1,1,0,5.843,66.24,0,1,4,2013
31-05-2013,1073.2,295.5375444,319.669929,421.25,395.0,3.695,20.923,5.584,9.752,-1.948,-12.072,-8.647,-14.118,0.0,-17.277,1.318,408.12,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,148.71,158.06,2.679,14.653,1,1,0,5.785,63.27,0,1,5,2013
30-06-2013,1037.75,298.40944,313.4235051,424.125,395.0,-1.954,13.481,0.972,11.635,-3.303,-12.199,0.682,-15.45,0.0,-17.277,1.353,409.56,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,146.87,157.45,-1.237,12.464,1,1,0,5.806,63.51,0,1,6,2013
31-07-2013,990.31,279.5128,304.6050243,409.625,395.0,-2.814,-11.884,-6.332,-16.076,-4.571,-20.103,-3.419,-6.237,0.0,41.324,1.345,402.31,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,139.99,150.0,-4.684,-14.188,1,1,0,2.0,66.67,0,1,7,2013
31-08-2013,994.65,238.7356045,305.3398977,400.375,395.0,0.241,-12.61,-14.589,-28.09,0.438,-20.445,-2.258,-20.639,0.0,-17.277,1.311,397.69,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,132.46,138.45,-5.379,-21.035,1,1,0,2.2,72.23,0,1,8,2013
30-09-2013,1019.72,207.405387,307.5077742,374.8,395.0,0.71,-12.991,-13.123,-35.357,2.52,-20.393,-6.388,-28.931,0.0,-17.277,1.219,384.9,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,127.8,129.94,-3.518,-24.912,1,0,0,2.172,76.96,0,0,9,2013
31-10-2013,990.96,201.7252109,325.686705,370.0,395.0,5.912,-9.076,-2.739,-37.205,-2.82,-15.874,-1.281,-30.647,0.0,-17.277,1.136,382.5,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,128.32,132.46,0.407,-23.987,1,0,0,2.298,75.49,0,0,10,2013
30-11-2013,989.83,199.13474,306.7516282,334.375,395.0,-5.814,-14.986,-1.284,-38.087,-0.114,-13.003,-9.628,-31.463,0.0,-17.277,1.09,364.69,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081,124.89,127.39,-2.673,-27.193,1,0,0,2.268,78.5,0,0,11,2013
31-12-2013,990.52,197.391152,291.5566472,341.625,395.0,-4.954,-16.21,-0.876,-36.046,0.07,-14.51,2.168,-27.749,0.0,-17.277,1.172,368.31,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,122.27,123.42,-2.098,-26.667,1,0,0,2.268,81.02,0,0,12,2013
31-01-2014,942.1,198.0643448,275.577525,403.375,395.0,-5.481,-17.853,0.341,-34.661,-4.888,-20.988,18.075,-12.737,0.0,0.0,1.464,399.19,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,118.01,119.96,-3.484,-26.787,1,0,0,2.268,83.36,0,0,1,2014
28-02-2014,970.96,209.3235928,292.1121765,450.125,307.625,6.0,-8.41,5.685,-30.857,3.063,-17.258,11.59,-3.095,-22.12,-22.12,1.541,378.88,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,123.85,126.97,4.949,-20.624,1,0,0,3.098,78.76,0,0,2,2014
31-03-2014,996.67,222.33078,323.7117327,486.5,278.5,10.818,4.508,6.214,-28.057,2.648,-10.807,8.081,4.036,-9.468,-29.494,1.503,382.5,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,132.2,137.94,6.742,-13.609,1,1,0,3.954,72.5,0,1,3,2014
30-04-2014,1001.69,222.3583376,324.8140428,409.0,299.0,0.341,5.364,0.012,-20.56,0.504,-8.481,-15.93,-11.304,7.361,-24.304,1.259,354.0,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,132.58,138.2,0.287,-8.453,1,1,0,3.82,72.36,0,1,4,2014
31-05-2014,961.81,217.2956128,334.7348337,413.5625,300.875,3.054,4.713,-2.277,-26.474,-3.981,-10.379,1.116,-1.825,0.627,-23.829,1.235,357.22,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,131.51,139.01,-0.807,-12.052,1,1,0,3.672,71.94,0,1,5,2014
30-06-2014,925.82,202.3948248,306.4422078,421.375,301.5,-8.452,-2.227,-6.857,-32.175,-3.742,-10.786,1.889,-0.648,0.208,-23.671,1.375,361.44,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,122.89,128.26,-6.555,-18.539,1,0,0,4.014,77.97,0,0,6,2014
31-07-2014,897.43,182.726572,280.3542021,440.625,279.5,-8.513,-7.961,-9.718,-34.627,-3.066,-9.379,4.568,7.568,-7.297,-29.241,1.572,360.06,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,114.0,116.64,-7.234,-22.24,1,0,0,4.263,85.73,0,0,7,2014
31-08-2014,861.77,176.4237552,263.4521139,446.5,279.5,-6.029,-13.718,-3.449,-26.101,-3.974,-13.359,1.333,11.52,0.0,-29.241,1.695,363.0,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,108.77,110.96,-4.588,-19.856,1,0,0,4.205,90.12,0,0,8,2014
30-09-2014,839.82,163.0583192,243.6105321,438.1,279.5,-7.531,-20.779,-7.576,-21.382,-2.547,-17.642,-1.881,16.889,0.0,-29.241,1.798,358.8,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,102.3,102.58,-5.948,-21.056,1,0,0,4.364,97.48,0,0,9,2014
31-10-2014,833.03,163.121308,245.4477156,418.75,279.5,0.754,-24.637,0.039,-19.137,-0.809,-15.937,-4.417,13.176,0.0,-29.241,1.706,349.12,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,102.32,103.02,0.02,-22.226,1,0,0,4.348,97.07,0,0,10,2014
30-11-2014,825.98,178.7425304,258.6754368,408.75,279.5,5.389,-15.673,9.576,-10.24,-0.846,-16.553,-2.388,22.243,0.0,-29.241,1.58,344.12,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457,107.04,110.54,4.613,-13.227,1,0,0,4.706,90.46,0,0,11,2014
31-12-2014,814.55,178.7346568,269.6985378,418.375,279.5,4.261,-7.497,-0.004,-9.452,-1.384,-17.765,2.355,22.466,0.0,-29.241,1.551,348.94,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,108.26,113.05,1.14,-8.402,1,0,0,4.741,88.46,0,0,12,2014
31-01-2015,796.58,174.7073104,248.3872092,440.25,279.5,-7.902,-9.867,-2.253,-11.793,-2.206,-15.446,5.229,9.142,0.0,-29.241,1.772,359.88,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,103.51,107.02,-4.388,-10.787,1,0,0,4.793,93.44,0,0,1,2015
28-02-2015,762.61,173.6955528,236.9966715,444.125,279.5,-4.586,-18.868,-0.579,-17.021,-4.264,-21.458,0.88,-1.333,0.0,-9.143,1.874,361.81,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,100.21,104.12,-3.188,-17.996,1,0,0,4.44,96.04,0,0,2,2015
31-03-2015,749.93,174.2270208,230.7502476,428.8,283.4,-2.636,-28.717,0.306,-21.636,-1.663,-24.756,-3.451,-11.86,1.395,1.759,1.858,356.1,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,98.85,102.85,-1.357,-25.439,0,0,0,3.58,97.23,0,0,3,2015
30-04-2015,747.74,172.0539072,223.4015136,409.0,299.0,-3.185,-31.222,-1.247,-22.623,-0.292,-25.352,-4.618,0.0,5.505,0.0,1.831,354.0,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,97.22,100.54,-1.649,-27.25,0,0,0,3.493,99.46,0,0,4,2015
31-05-2015,785.13,166.2943688,215.3179062,413.5625,300.875,-3.618,-35.675,-3.348,-23.471,5.0,-18.37,1.116,0.0,0.627,0.0,1.921,357.22,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,96.4,97.04,-0.843,-30.192,0,0,0,3.492,103.05,0,0,5,2015
30-06-2015,788.21,166.7195432,209.8063557,421.375,301.5,-2.56,-31.535,0.256,-17.627,0.392,-14.864,1.889,0.0,0.208,0.0,2.008,361.44,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,95.76,95.9,-0.664,-25.23,0,0,0,3.277,104.28,0,0,6,2015
31-07-2015,752.32,179.596816,197.3135079,431.5,301.5,-5.954,-29.62,7.724,-1.713,-4.553,-16.17,2.403,-2.071,0.0,7.871,2.187,366.5,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,94.88,96.75,-0.919,-17.052,0,0,0,2.839,103.36,0,0,7,2015
31-08-2015,728.33,162.5937768,179.6765463,434.625,301.5,-8.939,-31.799,-9.467,-7.839,-3.189,-15.484,0.724,-2.66,0.0,7.871,2.419,368.06,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,87.96,87.82,-7.293,-20.854,0,0,0,3.193,113.87,0,0,8,2015
30-09-2015,720.4,165.621176,172.695249,428.0,301.5,-3.885,-29.11,1.862,1.572,-1.089,-14.22,-1.524,-2.305,0.0,7.871,2.478,364.75,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,87.15,87.1,-0.921,-15.091,0,0,0,2.903,114.81,0,0,9,2015
31-10-2015,743.3,171.388588,172.7099465,423.75,301.5,0.009,-29.635,3.482,5.068,3.179,-10.772,-0.993,1.194,0.0,7.871,2.454,362.62,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,89.19,88.76,2.341,-13.842,0,0,0,3.071,112.66,0,0,10,2015
30-11-2015,727.34,166.1565808,177.1044894,383.875,301.5,2.544,-31.534,-3.053,-7.041,-2.147,-11.942,-9.41,-6.086,0.0,7.871,2.168,342.69,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754,88.21,88.26,-1.099,-20.156,0,0,0,2.494,113.3,0,0,11,2015
31-12-2015,765.7,163.948036,189.2299005,340.625,301.5,6.846,-29.837,-1.329,-8.273,5.274,-5.997,-11.267,-18.584,0.0,7.871,1.8,321.06,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,91.18,90.4,3.367,-20.035,0,0,0,2.78,110.62,0,0,12,2015
31-01-2016,736.03,161.0269304,193.2717042,327.125,301.5,2.136,-22.189,-1.782,-7.83,-3.875,-7.601,-3.963,-25.696,0.0,7.871,1.693,314.31,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,90.04,90.48,-1.25,-15.455,0,0,0,2.615,110.52,0,0,1,2016
29-02-2016,767.24,159.676608,187.0252803,326.0,301.5,-3.232,-21.085,-0.839,-8.071,4.24,0.607,-0.344,-26.597,0.0,7.871,1.743,313.75,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,90.09,88.66,0.056,-14.848,0,0,0,2.549,112.79,0,0,2,2016
31-03-2016,765.61,159.1372664,191.067084,338.125,301.5,2.161,-17.197,-0.338,-8.661,-0.212,2.091,3.719,-21.146,0.0,6.387,1.77,319.81,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,90.54,89.44,0.5,-13.038,0,0,0,2.572,111.81,0,0,3,2016
30-04-2016,794.13,164.4125784,187.392717,330.5,301.5,-1.923,-16.118,3.315,-4.441,3.725,6.204,-2.255,-19.193,0.0,0.836,1.764,316.0,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,92.14,90.12,1.767,-10.364,0,0,0,2.645,110.96,0,0,4,2016
31-05-2016,795.64,168.9556456,171.9603756,313.5,301.5,-8.235,-20.137,2.763,1.6,0.19,1.339,-5.144,-24.195,0.0,0.208,1.823,307.5,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,90.72,87.89,-1.541,-9.429,0,0,0,2.663,113.78,0,0,5,2016
30-06-2016,799.91,179.872392,173.0626857,306.625,301.5,0.641,-17.513,6.461,7.889,0.537,1.484,-2.193,-27.232,0.0,0.0,1.772,304.06,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,93.16,91.28,2.69,-4.818,0,0,0,2.813,109.55,0,0,6,2016
31-07-2016,796.67,161.7591752,151.7513571,305.2,282.5,-12.314,-23.091,-10.07,-9.932,-0.405,5.895,-0.465,-29.27,-6.302,-6.302,2.011,293.85,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,86.3,81.2,-7.364,-16.072,0,0,0,3.496,123.15,0,0,7,2016
31-08-2016,824.42,150.1534888,149.1793002,318.0625,206.5,-1.695,-16.973,-7.175,-7.651,3.483,13.193,4.214,-26.819,-26.903,-31.509,2.132,262.28,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,84.81,77.28,-1.727,-12.002,0,0,0,2.857,129.4,0,0,8,2016
30-09-2016,837.21,148.4252336,150.649047,320.0,206.5,0.985,-12.766,-1.151,-10.383,1.551,16.215,0.609,-25.234,0.0,-31.509,2.124,263.25,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,85.22,77.12,0.483,-11.458,0,0,0,2.856,129.67,0,0,9,2016
31-10-2016,861.26,152.2596768,151.7513571,310.0,206.5,0.732,-12.135,2.583,-11.161,2.873,15.87,-3.125,-26.844,0.0,-31.509,2.043,258.25,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,87.09,78.47,2.194,-11.593,0,0,0,2.845,127.44,0,0,10,2016
30-11-2016,885.11,151.803008,150.649047,298.0,206.5,-0.726,-14.938,-0.3,-8.639,2.769,21.691,-3.871,-22.371,0.0,-31.509,1.978,252.25,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526,87.8,78.09,0.815,-11.523,0,0,0,2.841,128.06,0,0,11,2016
31-12-2016,916.7,152.4486432,141.8305662,296.625,206.5,-5.854,-25.049,0.425,-7.014,3.569,19.721,-0.461,-12.917,0.0,-31.509,2.091,251.56,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,87.85,76.26,0.057,-15.642,0,0,0,2.638,131.13,0,0,12,2016
31-01-2017,876.85,159.9876152,153.2211039,308.0,206.5,8.031,-20.722,4.945,-0.645,-4.347,19.132,3.835,-5.846,0.0,-31.509,2.01,257.25,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,89.42,81.03,1.787,-10.444,0,0,0,2.682,123.41,0,0,1,2017
28-02-2017,839.6,162.8575424,155.0582874,326.0,301.5,1.199,-17.092,1.794,1.992,-4.248,9.431,5.844,0.0,46.005,0.0,2.102,313.75,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,88.75,82.27,-0.749,-7.207,0,0,0,2.689,121.55,0,0,2,2017
31-03-2017,814.94,158.9640472,154.323414,325.625,206.5,-0.474,-19.231,-2.391,-0.109,-2.937,6.443,-0.115,-3.697,-31.509,-31.509,2.11,266.06,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,86.9,80.99,-2.085,-9.448,0,0,0,2.741,123.47,0,0,3,2017
30-04-2017,794.04,156.4405584,166.0813884,313.125,206.5,7.619,-11.373,-1.587,-4.849,-2.565,-0.011,-3.839,-5.257,0.0,-31.509,1.885,259.81,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,87.36,82.95,0.529,-7.956,0,0,0,2.678,120.55,0,0,4,2017
31-05-2017,825.06,158.5900512,180.4114197,309.25,206.5,8.628,4.915,1.374,-6.135,3.907,3.698,-1.238,-1.356,0.0,-31.509,1.714,257.88,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,91.21,86.84,4.407,-1.195,0,0,0,2.983,115.15,0,0,5,2017
30-06-2017,832.95,157.9326056,189.5973372,310.3,206.5,5.092,9.554,-0.415,-12.197,0.956,4.13,0.34,1.199,0.0,-31.509,1.637,258.4,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,92.8,88.76,1.743,-2.761,0,0,0,2.92,112.66,0,0,6,2017
31-07-2017,835.6,157.511368,202.4576217,313.75,207.25,6.783,33.414,-0.267,-2.626,0.318,4.887,1.112,2.801,0.363,-26.637,1.55,260.5,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,94.79,91.58,2.144,12.783,0,0,0,1.821,109.19,0,0,7,2017
31-08-2017,861.72,148.496096,171.2255022,320.75,215.5,-15.426,14.778,-5.724,-1.104,3.126,4.524,2.231,0.845,3.981,4.358,1.873,268.12,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,89.36,81.84,-5.728,5.901,0,0,0,2.547,122.19,0,0,8,2017
30-09-2017,889.44,147.2914352,178.5742362,325.9,215.5,4.292,18.537,-0.811,-0.764,3.217,6.239,1.606,1.844,0.0,4.358,1.825,270.7,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633,91.36,83.18,2.238,7.858,0,0,0,2.598,120.22,0,0,9,2017
